Item,Revenue Class,Department, Default Price ,Qty, Discounts , Avg. Sale Price , Gross Sales ,Net Sales,
Smoked Turkey Sandwich,Food,Sand & Burg,8.79,32,46.17,7.42,283.56,237.39,
Southern Comfort,Liquor,Whiskey,6.50,28,1.09,6.75,190.00,188.91,
Stars Shot,Liquor,Cocktails,2.50,2,0.00,2.50,5.00,5.00,
Steak Finger Basket with Fries (Lunch),Food,Lunch Menu,8.99,57,68.05,7.47,493.71,425.66,
Steak Fingers,Food,Entrees,12.75,68,150.05,10.57,869.00,718.95,
Steak Fingers (3pc),Food,Entrees,8.75,131,68.04,8.27,1151.24,1083.20,
Stoli,Liquor,Vodka,6.50,25,8.50,6.96,182.50,174.00,
Stoli Blueberi,Liquor,Vodka,6.50,3,0.00,6.50,19.50,19.50,
Street Tacos,Food,Entrees,7.00,120,118.05,7.01,959.00,840.95,
Surfer on Acid,Liquor,Cocktails,6.00,3,0.00,6.00,18.00,18.00,
Sutter Home Chardonnay (G),Wine,Wine,5.25,351,10.33,4.95,1759.25,1748.92,
Tanqueray,Liquor,Gin,7.25,27,0.00,8.28,223.50,223.50,
Tea,Beverage,Unalcoholic,2.69,49,0.27,2.68,131.81,131.54,
Tender Bites,Food,Starters,8.00,75,35.00,7.58,603.50,568.50,
Tender Bites (Kids),Food,Kids,7.00,2,7.00,3.50,14.00,7.00,
Tender Salad (Lunch),Food,Lunch Menu,8.99,34,9.00,8.66,303.58,294.58,
Tender Wrap,Food,Wings 'n Tenders,11.00,1,11.00,0.00,11.00,0.00,
Texas Style Chili,Food,Salad & Chili,5.25,1,0.00,5.25,5.25,5.25,
The Original,Food,Sand & Burg,11.00,240,402.20,10.04,2812.36,2410.16,
Titos,Liquor,Vodka,7.25,959,620.71,6.62,6978.74,6358.03,
Topo Ranch Water,Beer,Bottle Beer,3.25,9,0.00,3.25,29.25,29.25,
Topo Seltzers,Beer,Bottle Beer,4.00,66,4.20,3.94,264.00,259.80,
Topo Seltzers Strawberry,Beer,Bottle Beer,4.00,229,12.88,3.94,916.00,903.12,
Tricky Ricky,Liquor,Cocktails,6.50,29,0.00,6.50,188.50,188.50,
Truly,Beer,Bottle Beer,3.50,216,6.50,3.47,756.00,749.50,
Tuaca,Liquor,Liqueur,7.00,62,11.63,7.35,467.50,455.87,
Tuaca Bomb,Liquor,Cocktails,7.50,4,0.00,8.00,32.00,32.00,
Turtle Shot,Liquor,Cocktails,3.00,9,0.00,3.00,27.00,27.00,
Twisted Tea 24oz,Beer,Draft Beer,5.50,1,0.00,5.50,5.50,5.50,
TX Whiskey,Liquor,Whiskey,8.00,221,34.40,7.84,1734.50,1700.10,
Van Gogh Dbl Espsso,Liquor,Liqueur,6.50,5,0.00,6.50,32.50,32.50,
Vanilla Ice Cream,Food,Desserts,2.50,3,0.00,2.50,7.50,7.50,
Vegas Bombs,Liquor,Cocktails,8.25,348,12.00,7.99,2793.50,2781.50,
Vodka Bomb,Liquor,Cocktails,8.00,9,0.00,7.50,67.50,67.50,
Vodoo Ranger 16oz,Beer,Draft Beer,4.00,91,1.20,3.88,354.00,352.80,
Vodoo Ranger 24oz,Beer,Draft Beer,6.00,65,0.00,6.00,390.00,390.00,
Washington Apple,Liquor,Cocktails,6.50,6,0.00,6.50,39.00,39.00,
Water Moccasin,Liquor,Cocktails,6.50,1,0.00,6.50,6.50,6.50,
Well Gin,Liquor,Gin,3.25,92,0.00,3.58,329.25,329.25,
Well Rum,Liquor,Rum,3.25,292,10.00,3.34,985.25,975.25,
Well Tequila,Liquor,Tequila,3.25,2777,228.25,3.20,9101.50,8873.25,
Well Vodka,Liquor,Vodka,3.25,4279,156.45,3.31,14317.50,14161.05,
Well Whiskey,Liquor,Whiskey,3.25,2559,148.76,3.20,8329.25,8180.49,
Wheatley Vodka,Liquor,Vodka,5.50,1,0.00,5.50,5.50,5.50,
White Russian,Liquor,Cocktails,7.00,25,1.10,5.46,137.50,136.40,
White Tea,Liquor,Cocktails,6.50,437,88.61,5.48,2481.50,2392.89,
Wild Acre Gf Ipa 16oz,Beer,Draft Beer,4.50,106,0.00,4.50,477.00,477.00,
Wild Acre Gf Ipa 24oz,Beer,Draft Beer,6.00,97,3.00,5.97,582.00,579.00,
Wild Turkey 101,Liquor,Whiskey,6.50,15,5.50,5.27,84.50,79.00,
Wings Ten,Food,Wings 'n Tenders,10.00,15,14.90,9.04,150.50,135.60,
Wing & Tender Combo,Food,Wings 'n Tenders,20.00,35,25.00,19.40,704.00,679.00,
Woodford Reserve,Liquor,Whiskey,9.00,102,9.90,9.24,952.00,942.10,
Yuengling Flight,Beer,Bottle Beer,4.25,178,56.50,3.69,712.75,656.25,
Yuengling Hershey Chocolate,Beer,Bottle Beer,3.50,4,0.00,3.50,14.00,14.00,
Yuengling Lager 16oz,Beer,Draft Beer,4.50,248,219.50,3.61,1116.00,896.50,
Yuengling Lager 24oz,Beer,Draft Beer,6.00,103,4.00,5.96,618.00,614.00,
